"id","nome","idade","turma","nota","cidade","situacao"
"60","Ulisses","50","Info A","10","Igarassu","Aprovado"
"61","Savio Alves","18","Info B","10","Belo Jardim","Aprovado"
"40","Vitória Fernandes","19","Info A","9.8","Paulista","Aprovado"
"1","Ana Souza","20","Info A","9.7","Recife","Aprovado"
"7","Gabriela Costa","19","Info A","9.7","Recife","Aprovado"
"28","Helena Paiva","20","Info A","9.6","Paulista","Aprovado"
"62","Cristiane Melo","22","Info A","9.5","Igarassu","Aprovado"
"12","Mariana Lopes","20","Info A","9.4","Camaragibe","Aprovado"
"36","Priscila Andrade","21","Administração A","9.3","Paulista","Aprovado"
"3","Carla Santos","18","Info A","9.2","Recife","Aprovado"
"22","Beatriz Cavalcanti","20","Info A","9.1","Jaboatão","Aprovado"
"16","Renata Lima","19","Administração A","9","Camaragibe","Aprovado"
"5","Elisa Rocha","21","Administração A","8.9","Recife","Aprovado"
"19","Vinícius Araújo","20","Redes B","8.8","Camaragibe","Aprovado"
"33","Mônica Ribeiro","20","Administração B","8.7","Paulista","Aprovado"
"69","Yuri Cavalcanti","38","Info A","8.6","Igarassu","Aprovado"
"29","Isabela Castro","19","Redes B","8.4","Jaboatão","Aprovado"
"14","Olívia Ramos","18","Info A","8.3","Camaragibe","Aprovado"
"6","Felipe Melo","20","Redes A","8.2","Recife","Aprovado"
"38","Sabrina Oliveira","18","Redes A","8.2","Paulista","Aprovado"
"9","Igor Martins","18","Info B","8.1","Recife","Aprovado"
"24","Daniela Freitas","21","Administração A","8","Jaboatão","Aprovado"
"26","Fernanda Queiroz","18","Redes A","7.9","Jaboatão","Aprovado"
"10","Joana Ferreira","19","Redes A","7.8","Recife","Aprovado"
"35","Otávio Correia","22","Redes B","7.7","Paulista","Aprovado"
"21","Aline Monteiro","18","Administração B","7.6","Jaboatão","Aprovado"
"8","Henrique Silva","23","Redes A","7.5","Recife","Aprovado"
"31","Karen Albuquerque","18","Info B","7.3","Jaboatão","Aprovado"
"15","Paulo Mendes","20","Redes A","7.1","Camaragibe","Aprovado"
"2","Bruno Lima","20","Administração A","7","Recife","Aprovado"
"63","Talita Barbosa","21","Info B","7","Paulista","Aprovado"
