"id","nome","idade","turma","nota","cidade","situacao"
"2","Bruno Lima","20","Administração A","7","Recife","Aprovado"
"24","Daniela Freitas","21","Administração A","8","Jaboatão","Aprovado"
"5","Elisa Rocha","21","Administração A","8.9","Recife","Aprovado"
"30","José Roberto","24","Administração A","6","Jaboatão","Recuperação"
"11","Lucas Pereira","21","Administração A","6.5","Camaragibe","Recuperação"
"36","Priscila Andrade","21","Administração A","9.3","Paulista","Aprovado"
"16","Renata Lima","19","Administração A","9","Camaragibe","Aprovado"
"21","Aline Monteiro","18","Administração B","7.6","Jaboatão","Aprovado"
"27","Gustavo Moura","22","Administração B","5.8","Jaboatão","Recuperação"
"33","Mônica Ribeiro","20","Administração B","8.7","Paulista","Aprovado"
"18","Tatiana Nunes","22","Administração B","6.2","Camaragibe","Recuperação"
"39","Thiago Moreira","23","Administração B","4.7","Paulista","Reprovado"
"1","Ana Souza","20","Info A","9.7","Recife","Aprovado"
"22","Beatriz Cavalcanti","20","Info A","9.1","Jaboatão","Aprovado"
"3","Carla Santos","18","Info A","9.2","Recife","Aprovado"
"62","Cristiane Melo","22","Info A","9.5","Igarassu","Aprovado"
"7","Gabriela Costa","19","Info A","9.7","Recife","Aprovado"
"28","Helena Paiva","20","Info A","9.6","Paulista","Aprovado"
"12","Mariana Lopes","20","Info A","9.4","Camaragibe","Aprovado"
"34","Natália Pires","19","Info A","5.1","Paulista","Recuperação"
"14","Olívia Ramos","18","Info A","8.3","Camaragibe","Aprovado"
"60","Ulisses","50","Info A","10","Igarassu","Aprovado"
"40","Vitória Fernandes","19","Info A","9.8","Paulista","Aprovado"
"69","Yuri Cavalcanti","38","Info A","8.6","Igarassu","Aprovado"
"4","Diego Alves","22","Info B","6.8","Recife","Recuperação"
"25","Eduardo Tavares","19","Info B","6.9","Jaboatão","Recuperação"
"9","Igor Martins","18","Info B","8.1","Recife","Aprovado"
"31","Karen Albuquerque","18","Info B","7.3","Jaboatão","Aprovado"
"37","Rafael Batista","20","Info B","6.7","Paulista","Recuperação"
"17","Samuel Barros","21","Info B","4.9","Camaragibe","Reprovado"
"61","Savio Alves","18","Info B","10","Belo Jardim","Aprovado"
"63","Talita Barbosa","21","Info B","7","Paulista","Aprovado"
"20","Wesley Cardoso","19","Info B","5.4","Camaragibe","Recuperação"
"6","Felipe Melo","20","Redes A","8.2","Recife","Aprovado"
"26","Fernanda Queiroz","18","Redes A","7.9","Jaboatão","Aprovado"
"8","Henrique Silva","23","Redes A","7.5","Recife","Aprovado"
"10","Joana Ferreira","19","Redes A","7.8","Recife","Aprovado"
"32","Leandro Farias","21","Redes A","2.9","Paulista","Reprovado"
"13","Nicolas Gomes","22","Redes A","3.8","Camaragibe","Reprovado"
"15","Paulo Mendes","20","Redes A","7.1","Camaragibe","Aprovado"
"38","Sabrina Oliveira","18","Redes A","8.2","Paulista","Aprovado"
"23","Caio Dantas","23","Redes B","4.3","Jaboatão","Reprovado"
"29","Isabela Castro","19","Redes B","8.4","Jaboatão","Aprovado"
"35","Otávio Correia","22","Redes B","7.7","Paulista","Aprovado"
"19","Vinícius Araújo","20","Redes B","8.8","Camaragibe","Aprovado"
